1.536350,1.536450,1.536469,1.538765
1.547409,1.547537,1.547565,1.551705
1.563582,1.563665,1.563682,1.565511
1.593129,1.593214,1.593239,1.595678
1.596014,1.596082,1.596095,1.598942
1.613678,1.613744,1.613757,1.616974
1.630380,1.630456,1.630473,1.632290
1.646255,1.646333,1.646351,1.659424
1.663127,1.663214,1.663232,1.665278
1.680749,1.680884,1.680912,1.685113
1.697297,1.697425,1.697453,1.700880
1.714076,1.714203,1.714232,1.718443
1.730622,1.730749,1.730778,1.734221
1.747524,1.747647,1.747675,1.751801
1.763957,1.764085,1.764114,1.767627
1.780869,1.781000,1.781029,1.785202
1.797201,1.797328,1.797357,1.800831
1.813990,1.814118,1.814147,1.818420
1.830533,1.830661,1.830690,1.834145
1.847530,1.847658,1.847686,1.851972
1.863320,1.863443,1.863472,1.866902
1.880861,1.880992,1.881020,1.885295
1.897295,1.897424,1.897452,1.900986
1.914108,1.914237,1.914266,1.918484
1.930620,1.930748,1.930777,1.934420
1.947434,1.947562,1.947591,1.951803
1.963964,1.964094,1.964123,1.967735
1.980868,1.981006,1.981035,1.985183
1.997293,1.997422,1.997451,2.000961
2.013209,2.013337,2.013365,2.017580
2.030627,2.030757,2.030785,2.034294
2.047524,2.047658,2.047687,2.051873
2.063864,2.063994,2.064023,2.067511
2.080868,2.080996,2.081024,2.085726
2.097300,2.097430,2.097459,2.100888
2.114192,2.114327,2.114355,2.118491
2.130464,2.130586,2.130615,2.134060
2.147529,2.147657,2.147685,2.151794
2.163956,2.164085,2.164114,2.167567
2.180774,2.180901,2.180930,2.185159
2.197294,2.197423,2.197453,2.200874
2.214105,2.214234,2.214263,2.218452
2.230628,2.230757,2.230785,2.234217
2.246836,2.246964,2.246992,2.251118
2.263958,2.264086,2.264114,2.267636
2.280924,2.281048,2.281077,2.285334
2.297202,2.297329,2.297358,2.300834
2.314192,2.314320,2.314349,2.318579
2.330502,2.330636,2.330664,2.334136
2.346329,2.346457,2.346485,2.350575
2.362898,2.363021,2.363049,2.366429
2.380863,2.380991,2.381019,2.385150
2.397336,2.397460,2.397488,2.400924
2.414038,2.414177,2.414207,2.418885
2.430631,2.430760,2.430788,2.434213
2.447434,2.447563,2.447592,2.451782
2.463964,2.464092,2.464122,2.467705
2.480762,2.480896,2.480924,2.485131
2.497298,2.497427,2.497456,2.501066
2.513710,2.513833,2.513861,2.517972
2.530628,2.530757,2.530786,2.534304
2.547540,2.547721,2.547754,2.552005
2.563870,2.564005,2.564033,2.567506
2.580860,2.580989,2.581017,2.585726
2.597289,2.597419,2.597446,2.600940
2.613990,2.614117,2.614146,2.618460
2.629570,2.629695,2.629725,2.633161
2.646363,2.646460,2.646482,2.649838
2.663965,2.664086,2.664113,2.667655
2.680868,2.680995,2.681024,2.685281
2.697292,2.697419,2.697448,2.700946
2.714106,2.714234,2.714262,2.718451
2.730631,2.730759,2.730788,2.734396
2.747407,2.747534,2.747562,2.751758
2.763962,2.764090,2.764119,2.767634
2.780839,2.780962,2.780989,2.785110
2.797295,2.797430,2.797458,2.800972
2.813982,2.814109,2.814138,2.818316
2.830533,2.830661,2.830689,2.834169
2.847538,2.847667,2.847695,2.852007
2.863867,2.863995,2.864023,2.867474
2.880865,2.880992,2.881020,2.885304
2.896672,2.896794,2.896822,2.900215
2.914201,2.914328,2.914356,2.918615
2.930629,2.930757,2.930786,2.934395
2.947440,2.947568,2.947597,2.951805
2.963958,2.964087,2.964116,2.967535
2.980864,2.980993,2.981021,2.985169
2.997295,2.997423,2.997452,3.001056
3.013199,3.013324,3.013352,3.017461
3.030628,3.030756,3.030784,3.034298
3.047582,3.047704,3.047733,3.051852
3.063959,3.064086,3.064115,3.067647
3.080865,3.080991,3.081020,3.085216
3.097170,3.097298,3.097327,3.100799
3.114194,3.114322,3.114351,3.118637
3.130536,3.130663,3.130692,3.134181
3.147524,3.147653,3.147681,3.151978
3.163817,3.163941,3.163970,3.167405
3.180866,3.180994,3.181022,3.185276
3.197291,3.197419,3.197447,3.200874
3.213901,3.214029,3.214056,3.218143
3.230631,3.230759,3.230787,3.234385
3.247411,3.247539,3.247567,3.251800
3.263952,3.264082,3.264110,3.267525
3.280222,3.280347,3.280375,3.284528
3.297290,3.297418,3.297446,3.300956
3.313592,3.313720,3.313747,3.317883
3.330539,3.330668,3.330697,3.334173
3.347437,3.347564,3.347593,3.351694
3.363864,3.363992,3.364021,3.367494
3.380868,3.380993,3.381022,3.385735
3.396201,3.396325,3.396353,3.399731
3.413476,3.413601,3.413629,3.417857
3.430619,3.430740,3.430768,3.434201
3.447528,3.447654,3.447683,3.451791
3.463948,3.464077,3.464105,3.467530
3.480864,3.480993,3.481020,3.485169
3.497292,3.497427,3.497456,3.500894
3.514175,3.514300,3.514329,3.518463
3.530625,3.530753,3.530781,3.534209
3.547306,3.547428,3.547457,3.551590
3.563961,3.564093,3.564121,3.567548
3.580864,3.580991,3.581019,3.585265
3.597291,3.597419,3.597447,3.600878
3.614133,3.614265,3.614295,3.618527
3.630536,3.630665,3.630693,3.634153
3.647533,3.647668,3.647696,3.652017
3.663074,3.663197,3.663225,3.666660
3.680867,3.680994,3.681023,3.685294
3.697294,3.697512,3.697541,3.700939
3.714198,3.714325,3.714353,3.718606
3.730623,3.730758,3.730786,3.734272
